"","score","Updated","Identifier","Title"
"1",2.8886023,2022-12-19,"70072ned","Regionale kerncijfers Nederland"
"2",7.243022,2022-12-22,"85039NED","Kerncijfers wijken en buurten 2021"
"3",7.243022,2022-12-22,"84799NED","Kerncijfers wijken en buurten 2020"
"4",7.243022,2022-04-29,"84583NED","Kerncijfers wijken en buurten 2019"
"5",7.243022,2021-07-09,"84286NED","Kerncijfers wijken en buurten 2018"
"6",7.243022,2020-11-06,"83765NED","Kerncijfers wijken en buurten 2017"
"7",7.243022,2019-02-01,"83487NED","Kerncijfers wijken en buurten 2016"
"8",7.243022,2022-12-22,"85318NED","Kerncijfers wijken en buurten 2022"
"9",4.5625606,2017-12-29,"83603NED","Motorvoertuigen van particulieren; wijken en buurten, 2016"
"10",4.5625606,2017-12-29,"83562NED","Motorvoertuigen van particulieren; wijken en buurten, 2015"
